position,美女と野獣_魔法の物語,スプラッシュマウンテン,ベイマックスのハッピーランド,ビッグサンダーマウンテン,ホーンテッドマンション,プーさんのハニーハント,バズ・ライトイヤーのアストロブスター,スペース・マウンテン,ピーターパン,空飛ぶダンボ,モンスターズ・インク_ライド&ゴーシーク!,ロジャーラビットのカートゥーンスピン,イッツ・ア・スモールワールド,ジャングルクルーズ
x,650,100,450,300,350,400,370,450,350,350,450,700,700,200
y,350,650,300,350,500,400,200,200,350,500,0,700,400,100
